,1Y_Return,Volatility,SMA_50,SMA_200
RELIANCE.NS,-17.550835198111916,0.21781198060392978,1249.6859985351562,1387.9111334228517
TCS.NS,-2.640510181576794,0.2119016343051563,4153.60560546875,4130.099012451172
INFY.NS,14.285039011016512,0.2243666500537626,1905.4870043945311,1772.9990594482422
HDFCBANK.NS,24.128023719499964,0.2037766135982715,1735.0150048828125,1669.6276678466797
ICICIBANK.NS,24.2737751987913,0.19979885767036493,1269.3150024414062,1226.8451831054688
HINDUNILVR.NS,-1.5784002280206255,0.20235011507605632,2373.895009765625,2545.4879992675783
ITC.NS,3.053559583350933,0.20629080081005574,444.5630950927735,459.2340295410156
SBIN.NS,-1.229453387608396,0.2825268846919518,781.896005859375,812.5496505737304
BHARTIARTL.NS,54.73575153700878,0.22684515942234149,1624.01,1538.6252990722655
KOTAKBANK.NS,11.75505068855494,0.2517137210284137,1832.6230004882811,1786.4001196289062
LT.NS,-1.387103507441394,0.28723964628946375,3560.23796875,3582.705799560547
ASIANPAINT.NS,-24.17851530540543,0.21341118848309104,2295.785,2783.9422497558594
AXISBANK.NS,-8.987570928040492,0.24373743958269722,1045.9850012207032,1152.2768466186524
BAJFINANCE.NS,26.900328624275225,0.2648080834160728,7466.92599609375,7089.693295898437
HCLTECH.NS,5.942295571580365,0.23290200249952386,1838.3501586914062,1670.6065594482423
MARUTI.NS,16.068893092991516,0.2360332956645946,11806.333984375,12095.87498046875
TITAN.NS,-10.090108873072772,0.240848305891544,3389.19599609375,3411.2704821777343
ULTRACEMCO.NS,15.7629656691042,0.24147201952422143,11369.12298828125,11164.938374023437
SUNPHARMA.NS,12.876433147443622,0.19113425196384162,1781.7431713867188,1715.3875738525392
WIPRO.NS,22.14663203364321,0.2792334298896067,301.26578430175783,266.2602323150635
HDFCLIFE.NS,7.34254598566417,0.2362362409668408,623.6290026855469,651.8934271240234
POWERGRID.NS,-1.0615923733077033,0.312065473603601,297.55808715820314,314.6853701782227
TECHM.NS,31.87530315457349,0.24778265824029974,1697.6090014648437,1561.571069946289
NTPC.NS,-6.414442529981629,0.3179064947303199,326.11534118652344,369.3100973510742
GRASIM.NS,17.349889527176316,0.23610765641161022,2487.2309912109376,2583.953509521484
ADANIENT.NS,-32.85364328362346,0.4609759068002425,2393.970009765625,2857.12248046875
INDUSINDBK.NS,-30.086216240331424,0.31132103398997907,983.4870043945313,1253.3199584960937
JSWSTEEL.NS,19.539640945533705,0.2639358114532353,936.122998046875,936.3474465942382
TATASTEEL.NS,-2.847537913447406,0.30082125928354286,135.69079956054688,153.08122215270996
CIPLA.NS,3.26057506739982,0.24184813165565494,1463.8990014648436,1514.5868231201173
DRREDDY.NS,-1.463393459057791,0.201727153967949,1284.5900024414063,1277.411889038086
SBILIFE.NS,0.9893620592028994,0.2407135684605658,1447.9310034179687,1576.9582495117188
HINDALCO.NS,20.0620547453554,0.2970901131894913,608.4850036621094,659.8647518920899
DIVISLAB.NS,58.069084695734844,0.2655907866519641,5884.667001953125,5255.096988525391
BAJAJFINSV.NS,16.63364840699301,0.24302569650037414,1698.39400390625,1682.7466180419922
TATAMOTORS.NS,-25.6506089248711,0.30395659499965866,745.62099609375,907.1299035644531
HEROMOTOCO.NS,-15.797079156778034,0.24928736348204358,4130.063779296875,4899.565603027344
COALINDIA.NS,-18.359015957673172,0.3179520470730015,379.23791015625,437.2585237121582
BPCL.NS,-15.286356670875174,0.3291371138282047,273.4640319824219,301.77730072021484
ONGC.NS,-8.395846329396356,0.3594698076097769,247.5175503540039,268.07083587646486
APOLLOHOSP.NS,-6.801881759584407,0.23177818235831618,6987.53228515625,6685.126127929688
EICHERMOT.NS,21.886508364776258,0.2653764935388941,5019.33298828125,4837.613940429687
BAJAJ-AUTO.NS,6.090765080302895,0.27902759092368673,8777.93294921875,9701.574243164063
UPL.NS,28.680295631824876,0.2985491973008676,556.861000366211,555.8316117858886
M&M.NS,78.88089411283848,0.32362996065808547,3022.410009765625,2851.1273608398437
ADANIPORTS.NS,-15.821310586930487,0.4090968118335488,1159.1319921875,1346.433671875
BRITANNIA.NS,-0.13381101876236803,0.20685052701881812,4887.478974609375,5393.764506835938
SHREECEM.NS,6.562733846476671,0.22625252753470548,26650.339921875,26004.662724609374
NESTLEIND.NS,-10.504152597639727,0.18933698802751706,2198.688544921875,2388.9354638671875
DLF.NS,-19.750193870914707,0.34238455344627033,782.102001953125,823.7182791137695
VEDL.NS,62.55096949526001,0.3698410918641539,451.6177508544923,437.7144061279297
